,Model,Neighbours,Distance,Weight,Trustworthiness,Accuracy,Bal. Accuracy,Cohen K,Matt. Corr. Coef
110,rf,15,0.5,0.3,0.9867138887689141,0.7577060931899642 +/- 0.04128280325386512,0.7131461131461131 +/- 0.05086491920006757,0.5383018156700947 +/- 0.023583595076031822,0.5418154558582463 +/- 0.023058133660651556
111,ada_rf,15,0.5,0.3,0.9867138887689141,0.7591397849462366 +/- 0.040979082802248046,0.7154524102440769 +/- 0.05916341532934848,0.5475882619219457 +/- 0.024302163982217278,0.5522969802578652 +/- 0.024145637380668834
112,nn,15,0.5,0.3,0.9867138887689141,0.7462365591397849 +/- 0.041845544007302254,0.6961936597353264 +/- 0.0592507077030641,0.4689180676112381 +/- 0.025042296409543495,0.48549187938049443 +/- 0.02470611132562514
113,knn,15,0.5,0.3,0.9867138887689141,0.7057347670250896 +/- 0.04077262955739331,0.6585196053946054 +/- 0.06284399984870023,0.4577633180815284 +/- 0.02646584123059186,0.4646179127643716 +/- 0.026188802994794508
114,xg,15,0.5,0.3,0.9867138887689141,0.7293906810035843 +/- 0.04236475697249757,0.6595063886730553 +/- 0.059686564662449156,0.5936233589863199 +/- 0.027019212974090417,0.6014430764598597 +/- 0.02642520822545714
115,rf,15,0.5,0.4,0.9832607245521339,0.7860215053763441 +/- 0.03223952006819452,0.7436733405483406 +/- 0.04766590903172912,0.6380768941326808 +/- 0.02128820139036068,0.6410093756646997 +/- 0.020823791250336485
116,ada_rf,15,0.5,0.4,0.9832607245521339,0.7906810035842293 +/- 0.03277710388220569,0.7468533395616729 +/- 0.051693127623409836,0.6707009512980185 +/- 0.02359389761054176,0.6745702839761561 +/- 0.022864957867959806
117,nn,15,0.5,0.4,0.9832607245521339,0.7792114695340502 +/- 0.037004995023834523,0.7361208621625288 +/- 0.04684771556887235,0.4952020499060646 +/- 0.025845604511420133,0.5270960117153448 +/- 0.025300724368087595
118,knn,15,0.5,0.4,0.9832607245521339,0.7483870967741936 +/- 0.034073263971167195,0.6956036633119966 +/- 0.0480436300002194,0.5757148747632529 +/- 0.02115829453343165,0.5815294464929416 +/- 0.020643887867685423
119,xg,15,0.5,0.4,0.9832607245521339,0.7555555555555555 +/- 0.038504516818689716,0.7056023451856785 +/- 0.06001147988357118,0.6302814084885987 +/- 0.02191487901229255,0.6326793338659348 +/- 0.0217767195863742
120,rf,15,0.5,0.5,0.9720191767805468,0.8304659498207886 +/- 0.030633070533214027,0.7856259866676534 +/- 0.05341371177847124,0.7345901882136715 +/- 0.020699036393484586,0.7366151824308081 +/- 0.020357058578380167
121,ada_rf,15,0.5,0.5,0.9720191767805468,0.8311827956989247 +/- 0.03171587355645727,0.7871434121434121 +/- 0.05763760880510669,0.7231131545169294 +/- 0.02153420372291624,0.7251583107269721 +/- 0.02107069950697294
122,nn,15,0.5,0.5,0.9720191767805468,0.8311827956989247 +/- 0.03914292220962415,0.7890954338871006 +/- 0.05285425801921319,0.7400302736920364 +/- 0.020442661513982493,0.7451741386966458 +/- 0.0199868784878147
123,knn,15,0.5,0.5,0.9720191767805468,0.7939068100358423 +/- 0.03671837482280078,0.7194381621464955 +/- 0.06442860405463847,0.684353548072842 +/- 0.028177687095651587,0.6884678588575833 +/- 0.02760211806102963
124,xg,15,0.5,0.5,0.9720191767805468,0.8086021505376344 +/- 0.0358744139850023,0.7477263091846426 +/- 0.052536131824980674,0.7282279215922312 +/- 0.02461786417644771,0.7298892313806412 +/- 0.024426846797009752
125,rf,30,0.1,0.1,0.9837412682729467,0.7007168458781362 +/- 0.04545197805556293,0.6590680924014257 +/- 0.057803890711146826,0.5750335664043534 +/- 0.021528390418269577,0.5803445935086032 +/- 0.021090262884319023
126,ada_rf,30,0.1,0.1,0.9837412682729467,0.7007168458781362 +/- 0.04264614959551806,0.6593728031228031 +/- 0.05639591103480877,0.5606635023912674 +/- 0.022566333575484387,0.566470938606229 +/- 0.021952702913078236
127,nn,30,0.1,0.1,0.9837412682729467,0.7136200716845879 +/- 0.036215459478673204,0.6753552388969055 +/- 0.048724720814083855,0.47685099457217706 +/- 0.021092883118548542,0.487931094136784 +/- 0.021287229267479914
128,knn,30,0.1,0.1,0.9837412682729467,0.7118279569892473 +/- 0.03957343892798251,0.6345788856205523 +/- 0.06176033674552438,0.49820435502649857 +/- 0.025021766364864296,0.5093939646066176 +/- 0.02470805291155761
129,xg,30,0.1,0.1,0.9837412682729467,0.682078853046595 +/- 0.05103833985558918,0.6430605274355274 +/- 0.052434112895136095,0.49501279964924955 +/- 0.024163651085054957,0.5005767546531518 +/- 0.024211173650148663
130,rf,30,0.1,0.2,0.9811317971167878,0.7530465949820788 +/- 0.03978277492930844,0.6938052302635636 +/- 0.05275555241749634,0.6862724165529935 +/- 0.015886281853466418,0.6876312533047598 +/- 0.015906003972160777
131,ada_rf,30,0.1,0.2,0.9811317971167878,0.7587813620071685 +/- 0.04108434648145097,0.6911583015749683 +/- 0.05963253002690935,0.6718115854613732 +/- 0.013921314982901204,0.6734666323757604 +/- 0.013706074572133568
132,nn,30,0.1,0.2,0.9811317971167878,0.7759856630824372 +/- 0.03660963309885593,0.702347960681294 +/- 0.05102016004196019,0.5278817129246854 +/- 0.02071114890034593,0.5440216626780128 +/- 0.020366556089409887
133,knn,30,0.1,0.2,0.9811317971167878,0.7369175627240143 +/- 0.03166345232205948,0.6603741551658219 +/- 0.0490610253174703,0.5975144099180485 +/- 0.028989271553469562,0.6017340586117091 +/- 0.028498090890146953
134,xg,30,0.1,0.2,0.9811317971167878,0.7315412186379928 +/- 0.04351606515845395,0.6622981185481185 +/- 0.051757950361761375,0.622184823614016 +/- 0.02209994536882026,0.6276402220654246 +/- 0.0219637920092124
135,rf,30,0.1,0.3,0.976641120621493,0.7924731182795699 +/- 0.035286131203270406,0.7339387849804516 +/- 0.04869053252949795,0.7055580892275006 +/- 0.022606733555544548,0.7063534730645153 +/- 0.022531335198927305
